work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,"Senior level","Full time","Solutions Architect",143884,USD,143884,US,100,US,Medium
2025,"Mid level","Full time","Engineering Manager",391590,USD,391590,US,0,US,Medium
2025,"Mid level","Full time","Product Manager",169426,USD,169426,US,0,US,Medium
2025,"Mid level","Full time","Product Manager",118598,USD,118598,US,0,US,Medium
2025,"Mid level","Full time","Data Engineer",60456,EUR,63637,NL,0,NL,Medium
2025,"Mid level","Full time","Software Developer",108806,USD,108806,US,0,US,Medium
2025,"Mid level","Full time","Software Developer",76164,USD,76164,US,0,US,Medium
2025,"Senior level","Full time","Software Engineer",179550,USD,179550,US,0,US,Medium
2025,"Mid level","Full time","Data Specialist",76776,USD,76776,US,100,US,Medium
2025,"Mid level","Full time","Data Specialist",43896,USD,43896,US,100,US,Medium
2025,"Mid level","Full time","Machine Learning Engineer",105622,USD,105622,US,0,US,Medium
2025,"Entry level","Full time",Analyst,66820,USD,66820,US,100,US,Medium
2025,"Senior level","Full time","Data Governance Lead",235620,USD,235620,US,0,US,Medium
2025,"Senior level","Full time","Data Governance Lead",182070,USD,182070,US,0,US,Medium
2025,"Senior level","Full time","Data Engineer",150491,USD,150491,US,0,US,Medium
