work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,"Mid level","Full time","Business Intelligence Developer",107309,USD,107309,CA,0,CA,Medium
2025,"Mid level","Full time","Business Intelligence Developer",85839,USD,85839,CA,0,CA,Medium
2025,"Mid level","Full time","Data Manager",32654,GBP,41334,GB,0,GB,Medium
2025,"Mid level","Full time","Data Manager",31067,GBP,39325,GB,0,GB,Medium
2025,"Senior level","Full time","Analytics Engineer",154688,USD,154688,US,100,US,Medium
2025,"Senior level","Full time","Analytics Engineer",103125,USD,103125,US,100,US,Medium
2025,"Mid level","Full time",Associate,87516,USD,87516,US,0,US,Medium
2025,"Mid level","Full time",Associate,45360,USD,45360,US,0,US,Medium
2025,"Senior level","Full time","Encounter Data Management Professional",78400,USD,78400,US,0,US,Medium
2025,"Mid level","Full time",Manager,161456,USD,161456,US,0,US,Medium
2025,"Mid level","Full time",Manager,76075,USD,76075,US,0,US,Medium
2025,"Senior level","Full time","Data Architect",224381,USD,224381,US,100,US,Medium
2025,"Senior level","Full time","Data Architect",149587,USD,149587,US,100,US,Medium
2025,"Senior level","Full time","Data Scientist",114210,USD,114210,US,0,US,Medium
2025,"Senior level","Full time",Manager,188267,USD,188267,US,0,US,Medium
2025,"Senior level","Full time","Machine Learning Engineer",194740,USD,194740,US,0,US,Medium
2025,"Senior level","Full time","Machine Learning Engineer",104860,USD,104860,US,0,US,Medium
2025,"Mid level","Full time","Data Engineer",165360,USD,165360,US,0,US,Medium
2025,"Expert Level","Full time","Data Governance",213390,USD,213390,US,0,US,Medium
2025,"Expert Level","Full time","Data Governance",143245,USD,143245,US,0,US,Medium
2025,"Senior level","Full time","Data Quality Analyst",140049,USD,140049,US,0,US,Medium
2025,"Senior level","Full time","Data Quality Analyst",84878,USD,84878,US,0,US,Medium
2025,"Entry level","Full time","Data Analyst",74755,USD,74755,US,0,US,Medium
2025,"Entry level","Full time","Data Analyst",48235,USD,48235,US,0,US,Medium
2025,"Mid level","Full time","Business Intelligence Developer",117811,USD,117811,US,100,US,Medium
2025,"Mid level","Full time","Business Intelligence Developer",76003,USD,76003,US,100,US,Medium
2025,"Entry level","Full time","Data Scientist",93230,USD,93230,US,100,US,Medium
2025,"Entry level","Full time","Data Scientist",71214,USD,71214,US,100,US,Medium
2025,"Senior level","Full time","Data Scientist",142243,USD,142243,US,0,US,Medium
2025,"Senior level","Full time","Data Architect",202093,USD,202093,US,0,US,Medium
2025,"Mid level","Full time",Engineer,107104,USD,107104,AU,0,AU,Medium
2025,"Mid level","Full time",Engineer,80449,USD,80449,AU,0,AU,Medium
2025,"Mid level","Full time","Data Scientist",138643,USD,138643,US,0,US,Large
2025,"Entry level","Full time","Data Analyst",112370,USD,112370,US,0,US,Medium
2025,"Senior level","Full time",Manager,240400,USD,240400,US,0,US,Medium
2025,"Senior level","Full time",Manager,269900,USD,269900,US,0,US,Medium
2025,"Entry level","Full time","Data Analyst",1020000,PHP,17394,PH,100,PH,Medium
2025,"Entry level","Full time","Data Analyst",900000,PHP,15347,PH,100,PH,Medium
2024,"Senior level","Full time","Data and Reporting Analyst",113145,USD,113145,US,100,US,Medium
2024,"Senior level","Full time","Data and Reporting Analyst",70715,USD,70715,US,100,US,Medium
2024,"Mid level","Full time","Product Manager",725000,USD,725000,US,0,US,Medium
2024,"Entry level","Full time","Machine Learning Engineer",199700,CAD,153615,CA,0,CA,Medium
2024,"Entry level","Full time","Machine Learning Engineer",108100,CAD,83153,CA,0,CA,Medium
2024,"Senior level","Full time","Software Engineer",619000,USD,619000,US,100,US,Medium
2024,"Senior level","Full time",Architect,117700,USD,117700,US,0,US,Medium
2024,"Senior level","Full time",Engineer,63480,EUR,70533,LT,0,LT,Medium
2024,"Mid level","Full time","Data Analyst",189900,USD,189900,US,0,US,Medium
2024,"Entry level","Full time",Analyst,103576,USD,103576,US,100,US,Medium
2024,"Entry level","Full time",Analyst,60927,USD,60927,US,100,US,Medium
2024,"Entry level","Full time","Data Analyst",29820,GBP,37275,GB,0,GB,Medium
2024,"Entry level","Full time","Data Analyst",28329,GBP,35411,GB,0,GB,Medium
2024,"Senior level","Full time","Data Engineer",128950,USD,128950,US,100,US,Medium
2024,"Entry level","Full time","Data Analyst",101527,USD,101527,US,0,US,Medium
2024,"Entry level","Full time","Data Analyst",78175,USD,78175,US,0,US,Medium
2024,"Entry level","Full time",Analyst,120452,USD,120452,US,100,US,Medium
2024,"Entry level","Full time",Analyst,51393,USD,51393,US,100,US,Medium
2024,"Senior level","Full time",Analyst,159264,USD,159264,US,0,US,Medium
2024,"Senior level","Full time",Analyst,192417,USD,192417,US,0,US,Medium
2024,"Senior level","Full time",Analyst,137441,USD,137441,US,0,US,Medium
2024,"Senior level","Full time","Data Scientist",121253,USD,121253,US,0,US,Medium
2024,"Senior level","Full time","Data Scientist",55155,USD,55155,US,0,US,Medium
2024,"Mid level","Full time","Data Specialist",61500,USD,61500,US,100,US,Medium
2024,"Senior level","Full time",Manager,152800,USD,152800,US,0,US,Medium
2024,"Mid level","Full time","Data Specialist",74080,USD,74080,US,0,US,Medium
2024,"Senior level","Full time","Data Engineer",194800,USD,194800,US,100,US,Medium
2024,"Senior level","Full time","Data Quality Engineer",203275,USD,203275,US,100,US,Medium
2024,"Senior level","Full time","Data Quality Engineer",112450,USD,112450,US,100,US,Medium
2024,"Senior level","Full time","Data Engineer",148949,USD,148949,US,0,US,Medium
2024,"Senior level","Full time","Data Architect",121700,USD,121700,US,0,US,Medium
2024,"Senior level","Full time","Data Architect",183015,USD,183015,US,0,US,Medium
2024,"Senior level","Full time","Data Architect",104580,USD,104580,US,0,US,Medium
2024,"Mid level","Full time","Data Scientist",84603,USD,84603,US,0,US,Medium
2024,"Mid level","Full time","Data Scientist",60431,USD,60431,US,0,US,Medium
2024,"Mid level","Full time","Data Scientist",70197,USD,70197,US,0,US,Medium
2024,"Senior level","Full time",Analyst,129723,USD,129723,US,0,US,Medium
2024,"Senior level","Full time",Analyst,86482,USD,86482,US,0,US,Medium
2024,"Senior level","Full time","Software Engineer",310300,USD,310300,US,0,US,Medium
2024,"Senior level","Full time","Software Engineer",206900,USD,206900,US,0,US,Medium
2024,"Senior level","Full time","Software Engineer",341500,USD,341500,US,0,US,Medium
2024,"Mid level","Full time",Manager,157475,USD,157475,US,100,US,Medium
2024,"Mid level","Full time","Data Analyst",73400,USD,73400,US,100,US,Medium
2024,"Mid level","Full time","Data Scientist",152000,BRL,31020,BR,100,BR,Large
2024,"Entry level","Full time","Data Analyst",90360,USD,90360,US,0,US,Medium
2024,"Entry level","Full time","Data Analyst",59250,USD,59250,US,0,US,Medium
2024,"Senior level","Full time",Analyst,131230,USD,131230,US,0,US,Medium
2024,"Senior level","Full time",Analyst,95440,USD,95440,US,0,US,Medium
2024,"Mid level","Full time","Data Manager",207190,USD,207190,US,0,US,Medium
2024,"Mid level","Full time","Data Manager",135860,USD,135860,US,0,US,Medium
2024,"Senior level","Full time","Business Intelligence Analyst",119000,CAD,91538,CA,100,CA,Medium
2024,"Mid level","Full time",Manager,145290,USD,145290,US,0,US,Medium
2024,"Mid level","Full time",Manager,96860,USD,96860,US,0,US,Medium
2024,"Senior level","Full time","Research Analyst",95723,USD,95723,US,0,US,Medium
2024,"Senior level","Full time","Research Analyst",63815,USD,63815,US,0,US,Medium
2024,"Senior level","Full time","Statistical Programmer",186840,USD,186840,US,100,US,Medium
2024,"Senior level","Full time","Statistical Programmer",124560,USD,124560,US,100,US,Medium
2024,"Mid level","Full time",Engineer,193950,USD,193950,US,0,US,Medium
2024,"Expert Level","Full time","Software Engineer",256200,USD,256200,US,0,US,Medium
2024,"Mid level","Full time","Platform Engineer",78060,USD,78060,US,0,US,Medium
2024,"Mid level","Full time","DevOps Engineer",106807,USD,106807,US,0,US,Medium
2024,"Senior level","Full time",Analyst,119976,USD,119976,US,0,US,Medium
2024,"Senior level","Full time",Analyst,71986,USD,71986,US,0,US,Medium
2024,"Entry level","Full time","Data Analyst",58240,USD,58240,US,0,US,Medium
2024,"Mid level","Full time","Data Scientist",105490,USD,105490,US,0,US,Medium
2024,"Mid level","Full time","Data Scientist",94940,USD,94940,US,0,US,Medium
2024,"Senior level","Full time","Data Engineer",147702,USD,147702,US,0,US,Medium
2024,"Senior level","Full time","Data Engineer",118162,USD,118162,US,0,US,Medium
2024,"Senior level","Full time",Architect,302960,USD,302960,US,0,US,Medium
2024,"Senior level","Full time",Architect,205940,USD,205940,US,0,US,Medium
2024,"Entry level","Full time",Analyst,168090,USD,168090,US,0,US,Medium
2024,"Entry level","Full time",Engineer,203866,USD,203866,US,0,US,Medium
2024,"Entry level","Full time",Engineer,196025,USD,196025,US,0,US,Medium
2024,"Senior level","Full time",Engineer,289520,USD,289520,CA,100,CA,Medium
2024,"Senior level","Full time",Engineer,246092,USD,246092,CA,100,CA,Medium
2024,"Senior level",Contract,"Data Developer",130760,USD,130760,CA,0,CA,Medium
2024,"Senior level",Contract,"Data Developer",90960,USD,90960,CA,0,CA,Medium
2024,"Senior level","Full time","Data Engineer",192036,USD,192036,US,0,US,Medium
2024,"Senior level","Full time","Data Scientist",151220,USD,151220,US,0,US,Medium
2024,"Senior level","Full time","Data Scientist",86390,USD,86390,US,0,US,Medium
2024,"Senior level","Full time","Business Intelligence Engineer",114586,USD,114586,US,0,US,Medium
2024,"Senior level","Full time","Business Intelligence Engineer",107571,USD,107571,US,0,US,Medium
2024,"Expert Level","Full time","AI Developer",340200,USD,340200,US,100,US,Medium
2024,"Mid level","Full time","Data Scientist",195655,USD,195655,US,0,US,Medium
2024,"Mid level","Full time","Data Scientist",156523,USD,156523,US,0,US,Medium
2024,"Mid level","Full time",Associate,138391,USD,138391,US,0,US,Medium
2024,"Mid level","Part Time","Data Manager",45600,USD,45600,US,0,US,Medium
2024,"Mid level","Full time","Platform Engineer",143091,USD,143091,US,0,US,Medium
2024,"Mid level","Full time","Platform Engineer",95394,USD,95394,US,0,US,Medium
2024,"Senior level","Full time",Analyst,148950,USD,148950,US,100,US,Medium
